supi,origin,window_index,attempts,failures,timestamp,raw_ratio
s1_supi,cellA,0,2,0,0.0,0.0
s1_supi,cellA,1,2,0,30.0,0.0
s1_supi,cellA,2,1,0,60.0,0.0
s1_supi,cellA,3,3,0,90.0,0.0
s1_supi,cellA,4,2,0,120.0,0.0
s1_supi,cellA,5,3,0,150.0,0.0
s1_supi,cellA,6,2,0,180.0,0.0
s1_supi,cellA,7,1,0,210.0,0.0
s1_supi,cellA,8,3,0,240.0,0.0
s1_supi,cellA,9,3,0,270.0,0.0
s1_supi,cellA,10,1,0,300.0,0.0
s1_supi,cellA,11,3,1,330.0,0.3333
s1_supi,cellA,12,3,0,360.0,0.0
s1_supi,cellA,13,1,0,390.0,0.0
s1_supi,cellA,14,2,0,420.0,0.0
s1_supi,cellA,15,1,0,450.0,0.0
s1_supi,cellA,16,1,0,480.0,0.0
s1_supi,cellA,17,2,0,510.0,0.0
s1_supi,cellA,18,3,1,540.0,0.3333
s1_supi,cellA,19,2,0,570.0,0.0
