timestamp_unix,repeat,imsi,auth_attempts,auth_failures,failure_ratio,detected,alert_count,alert_types
1782976428.302,0,00101097642800,100,5,0.0500,False,0,
1782976428.328,0,00101097642801,100,10,0.1000,False,0,
1782976428.332,0,00101097642802,100,20,0.2000,False,0,
1782976428.338,0,00101097642803,100,29,0.2900,False,0,
1782976428.342,0,00101097642804,100,30,0.3000,False,0,
1782976428.347,0,00101097642805,100,31,0.3100,True,1,AUTH_FAILURE_SPIKE
1782976428.351,0,00101097642806,100,40,0.4000,True,1,AUTH_FAILURE_SPIKE
1782976428.354,1,00101097642810,100,5,0.0500,False,0,
1782976428.358,1,00101097642811,100,10,0.1000,False,0,
1782976428.362,1,00101097642812,100,20,0.2000,False,0,
1782976428.367,1,00101097642813,100,29,0.2900,False,0,
1782976428.371,1,00101097642814,100,30,0.3000,False,0,
1782976428.376,1,00101097642815,100,31,0.3100,True,1,AUTH_FAILURE_SPIKE
1782976428.379,1,00101097642816,100,40,0.4000,True,1,AUTH_FAILURE_SPIKE
1782976428.385,2,00101097642820,100,5,0.0500,False,0,
1782976428.391,2,00101097642821,100,10,0.1000,False,0,
1782976428.396,2,00101097642822,100,20,0.2000,False,0,
1782976428.402,2,00101097642823,100,29,0.2900,False,0,
1782976428.408,2,00101097642824,100,30,0.3000,False,0,
1782976428.414,2,00101097642825,100,31,0.3100,True,1,AUTH_FAILURE_SPIKE
1782976428.420,2,00101097642826,100,40,0.4000,True,1,AUTH_FAILURE_SPIKE
